keys,ko,en
SHIP_STATUS_NONE,"없음","None"
SHIP_STATUS_LEVEL,"Lv.%d","Lv.%d"
SHIP_STATUS_LEVEL_MAX,"Lv.%level% / %max%","Lv.%level% / %max%"
SHIP_STATUS_SUMMARY_LEVEL,"레벨 %level%","Level %level%"
SHIP_STATUS_SUMMARY_HULL,"내구도 %current% / %max%","Hull %current% / %max%"
SHIP_STATUS_SUMMARY_XP,"경험치 %current% / %required%","XP %current% / %required%"
SHIP_STATUS_SUMMARY_XP_MAX,"경험치 MAX","XP MAX"
SHIP_STATUS_GROUP_MOBILITY,"기체 · 기동","Hull · Mobility"
SHIP_STATUS_GROUP_PRIMARY,"주무기","Primary"
SHIP_STATUS_GROUP_EMP,"EMP","EMP"
SHIP_STAT_HULL,"최대 내구도","Maximum hull"
SHIP_STAT_SPEED,"이동 속도","Move speed"
SHIP_STAT_PRIMARY_DAMAGE,"주무기 피해","Primary damage"
SHIP_STAT_FIRE_RATE,"초당 발사 수","Shots per second"
SHIP_STAT_PROJECTILE_SPEED,"탄환 속도","Projectile speed"
SHIP_STAT_DASH_COOLDOWN,"대시 재사용","Dash cooldown"
SHIP_STAT_EMP_DAMAGE,"EMP 피해","EMP damage"
SHIP_STAT_EMP_COOLDOWN,"EMP 재사용","EMP cooldown"
SHIP_UNIT_HP,"HP","HP"
SHIP_UNIT_PX_S,"px/s","px/s"
SHIP_UNIT_DAMAGE,"피해","damage"
SHIP_UNIT_PER_SECOND,"발/초","/s"
SHIP_UNIT_SECONDS,"초","s"
REPORT_SOURCE_PRIMARY,"펄스 캐논","Pulse Cannon"
REPORT_SOURCE_SEEKER,"추적 미사일","Homing Missiles"
REPORT_SOURCE_ELECTRIC_FIELD,"전기장","Electric Field"
REPORT_SOURCE_ORBITING_BLADES,"회전 날개","Orbiting Blades"
REPORT_SOURCE_DROP_MINE,"후방 기뢰","Drop Mine"
REPORT_SOURCE_EMP,"EMP 노바","EMP Nova"
REPORT_SOURCE_DASH,"대시 충돌","Dash Impact"
REPORT_SOURCE_STATUS,"원소 지속 피해","Elemental Damage"
REPORT_SOURCE_THERMAL_BURST,"열폭발","Thermal Burst"
REPORT_SOURCE_ARC_MINE,"아크 지뢰","Arc Mine"
REPORT_SOURCE_REFLECTED,"반사탄","Reflected Shot"
REPORT_SOURCE_OTHER,"기타","Other"
REPORT_INCOMING_PROJECTILE,"적 탄환","Enemy Projectiles"
REPORT_INCOMING_CONTACT,"충돌·근접 공격","Contact Attacks"
REPORT_INCOMING_DENIAL,"지뢰·범위 공격","Mines and Zones"
REPORT_INCOMING_ENVIRONMENT,"환경 피해","Environment"
REPORT_INCOMING_BOSS,"보스 공격","Boss Attacks"
REPORT_STAGE_KICKER,"스테이지 전투 기록","STAGE COMBAT RECORD"
REPORT_STAGE_TITLE,"%d단계 · %s","Stage %d · %s"
REPORT_FAILURE_KICKER,"작전 중단 기록","MISSION FAILURE RECORD"
REPORT_FAILURE_TITLE,"%d단계 실패 · %s","Stage %d Failed · %s"
REPORT_SUMMARY,"시간 %time% · 내구도 %hull%/%max%","Time %time% · Hull %hull%/%max%"
REPORT_DEFEATS,"처치한 적","Enemies Defeated"
REPORT_ELITE_COUNT," · 정예 %count%"," · %count% Elite"
REPORT_OUTGOING,"피해 기여도","Damage Contribution"
REPORT_ATTRIBUTES,"속성별 피해","Damage by Attribute"
REPORT_ATTRIBUTE_KINETIC,"운동","Kinetic"
REPORT_ATTRIBUTE_THERMAL,"열","Thermal"
REPORT_ATTRIBUTE_TOXIN,"독성","Toxin"
REPORT_ATTRIBUTE_CRYO,"냉각","Cryo"
REPORT_ATTRIBUTE_ARC,"전격","Arc"
REPORT_ATTRIBUTE_APPLICATIONS,"적용 %count%회","%count% applications"
REPORT_TOTAL_DAMAGE_LABEL,"총 피해","Total Damage"
REPORT_INCOMING,"피격 원인","Damage Taken"
REPORT_LAST_HIT,"마지막 피격 · %source% · %damage%","Last hit · %source% · %damage%"
REPORT_NONE,"기록 없음","No records"
REPORT_ZERO_DAMAGE,"적용된 피해가 없습니다.","No applied damage."
REPORT_CONTINUE,"다음 단계","Continue"
REPORT_FINAL,"최종 결과 보기","View Final Result"
REPORT_GARAGE,"차고로 이동","Continue to Garage"
GUIDE_MOBILE_GUARD_DESC,"전면 장갑판으로 정면 사격을 막습니다. 측면을 노리거나 집중 사격으로 장갑을 파괴하세요.","Blocks frontal fire with a guard plate. Flank it or break the plate with sustained fire."
GUIDE_MOBILE_SPLITTER_DESC,"파괴되면 작은 기체 두 대로 분리됩니다. 주변 공간을 확보한 뒤 마무리하세요.","Splits into two small craft when destroyed. Clear nearby space before finishing it."
GUIDE_FACILITY_GATE_NAME,"전송 게이트","Transit Gate"
GUIDE_FACILITY_GATE_DESC,"잠시 머무르면 멀리 있는 짝 게이트로 이동합니다.","Dwelling briefly transfers the ship to its distant paired gate."
GUIDE_ELITE_ARMORED_DESC,"추가 장갑을 가진 정예입니다. 집중 사격으로 장갑을 먼저 파괴하세요.","An elite with an extra armor shell. Break the shell first with sustained fire."
GUIDE_ELITE_OVERCLOCKED_DESC,"더 빠르게 이동하고 공격하는 정예입니다.","An elite that moves and attacks faster."
GUIDE_ELITE_HEAVY_DESC,"더 크고 튼튼하지만 조금 느린 정예입니다.","A larger, tougher, but slightly slower elite."
GUIDE_ROW_MOVEMENT,"이동","Movement"
GUIDE_ROW_ATTACK,"공격","Attack"
GUIDE_ROW_COUNTER,"대응","Counter"
GUIDE_ROW_MOVEMENT_DEFAULT,"실루엣과 이동 방향을 먼저 확인하세요.","Read its silhouette and movement direction first."
GUIDE_ROW_ATTACK_DEFAULT,"전조 도형이 실제 피해 범위와 일치합니다.","Warning geometry matches the actual damage area."
GUIDE_ROW_COUNTER_DEFAULT,"우선 대상을 조준하고 주무기를 계속 발사하세요.","Aim at the priority target and keep primary fire held."
TACTIC_COUNTER_SPEARHEAD,"자홍색 Lock 모듈이 켜질 때 선두를 파괴하거나 EMP로 대열을 끊으세요.","When the magenta Lock module appears, destroy the leader or break the formation with EMP."
TACTIC_COUNTER_SWARM_SCREEN,"Lock 중 한쪽 날개를 제거해 포위 화면을 열어 두세요.","Remove one wing during Lock to keep an exit open through the swarm screen."
TACTIC_COUNTER_SHEPHERD,"지휘·보호 기체를 먼저 파괴하거나 측면에서 대열을 분리하세요.","Destroy the command or shield craft first, or split the pack from the flank."
TACTIC_COUNTER_SHIELDED_COLUMN,"Lock 모듈이 있는 선두를 집중 사격해 공유 방어를 붕괴시키세요.","Focus fire on the Lock-marked leader to collapse the shared defense."
TACTIC_COUNTER_FUSE_PACK,"Lock이 끝나기 전에 지뢰를 먼저 기폭하거나 EMP로 점화를 끊으세요.","Detonate a mine early or use EMP before Lock completes to break the fuse."
TACTIC_COUNTER_BULWARK_FUSE,"장갑 선두의 측면을 공격한 뒤 노출된 도화선을 끊으세요.","Flank the armored leader, then cut the exposed fuse line."
TACTIC_COUNTER_REPAIR_NETWORK,"자홍색 연결 모듈이 켜진 지원 기체를 제거하거나 EMP로 망을 끊으세요.","Remove the support craft with the magenta link module, or sever the network with EMP."
TACTIC_COUNTER_CROSSFIRE,"Lock 방향과 직각으로 이동하고 선두를 파괴해 교차 사격을 취소하세요.","Move perpendicular to the Lock direction and destroy the leader to cancel the crossfire."
TACTIC_COUNTER_REMIX,"익숙한 Lock 모듈을 확인하고 선두 제거·EMP·엄폐물 유도 중 맞는 해법을 쓰세요.","Read the familiar Lock module and answer with a leader kill, EMP, or cover bait."
GUIDE_ROW_OBJECT_MOVEMENT,"고정된 위치와 표시된 범위 안에서 작동합니다.","Operates from a fixed position within its visible footprint."
GUIDE_ROW_OBJECT_EFFECT,"시각적으로 표시된 상태와 범위만 적용됩니다.","Only the visibly indicated state and footprint apply."
GUIDE_ROW_OBJECT_COUNTER,"경계, 경고 진행도, 재사용 상태를 확인하세요.","Read its boundary, warning progress, and cooldown state."
BOSS_SHIELD_DOWN_HINT,"방어막 해제 · 집중 사격","Shield down · focus fire"
BOSS_SHIELD_COUNTER,"직접 공격 종료 후 방어막이 내려갈 때 집중 사격하세요.","Focus fire when the shield drops after a direct attack."
